Routing Table for All Nodes
Shotest Path Routing for Node 0:
Destination Node                         Path       Path Cost
              16                 0 8 11 17 16               4
              17                    0 9 12 17               3
              18                 0 9 10 15 18               4
              19                 0 9 12 13 19               4
              20              0 9 12 13 19 20               5
              21              0 9 12 17 22 21               5
              22               0 9 8 14 18 22               5
              23              0 9 10 15 16 23               5

Second Shotest Path Routing for Node 1:
Destination Node                         Path       Path Cost
               0                      1 2 8 0               3
               2                      1 0 8 2               3
               3              1 0 8 7 6 5 4 3               7
               4                1 0 8 7 6 5 4               6
               5                  1 0 8 7 6 5               5
               6                  1 2 3 4 5 6               5
               7                   1 2 8 14 7               4
               8                        1 2 8               2
               9                      1 2 8 9               3
              10                  1 2 8 11 10               4
              11                  1 2 8 12 11               4
              12                   1 2 8 9 12               4
              13                  1 2 8 12 13               4
              14                   1 2 8 7 14               4
              15               1 2 8 11 17 15               5
              16               1 2 8 11 17 16               5
              17                  1 2 8 12 17               4
              18               1 2 8 11 17 18               5
              19                1 2 8 7 13 19               5
              20             1 2 8 7 13 19 20               6
              21            1 2 8 11 17 22 21               6
              22               1 2 8 14 18 22               5
              23               1 2 8 14 18 23               5

Second Shotest Path Routing for Node 2:
Destination Node                         Path       Path Cost
               0                        2 8 0               2
               1                      2 8 0 1               3
               3                2 8 7 6 5 4 3               6
               4                  2 8 7 6 5 4               5
               5                    2 8 7 6 5               4
               6                    2 3 4 5 6               4
               7                  2 3 4 5 6 7               5
               8                      2 1 0 8               3
               9                      2 1 0 9               3
              10                2 1 0 8 11 10               5
              11                2 1 0 9 10 11               5
              12                   2 1 0 9 12               4
              13                2 1 0 8 12 13               5
              14                 2 1 0 8 7 14               5
              15             2 1 0 8 11 17 15               6
              16             2 1 0 9 10 15 16               6
              17                2 1 0 8 12 17               5
              18             2 1 0 9 10 15 18               6
              19              2 1 0 8 7 13 19               6
              20           2 1 0 8 7 13 19 20               7
              21          2 1 0 8 11 17 22 21               7
              22             2 1 0 8 14 18 22               6
              23             2 1 0 8 14 18 23               6

Second Shotest Path Routing for Node 3:
Destination Node                         Path       Path Cost
               0                3 4 5 6 7 8 0               6
               1              3 4 5 6 7 8 0 1               7
               2                3 4 5 6 7 8 2               6
               4                3 2 8 7 6 5 4               6
               5                  3 2 8 7 6 5               5
               6                    3 2 8 7 6               4
               7                    3 4 5 6 7               4
               8                  3 4 5 6 7 8               5
               9              3 4 5 6 7 8 0 9               7
              10            3 4 5 6 7 8 11 10               7
              11            3 4 5 6 7 8 12 11               7
              12              3 4 5 6 7 13 12               6
              13              3 4 5 6 7 14 13               6
              14                 3 4 5 6 7 14               5
              15           3 4 5 6 7 14 17 15               7
              16        3 4 5 6 7 14 17 15 16               8
              17              3 4 5 6 7 14 17               6
              18           3 4 5 6 7 14 17 18               7
              19              3 4 5 6 7 13 19               6
              20           3 4 5 6 7 13 19 20               7
              21        3 4 5 6 7 13 19 20 21               8
              22           3 4 5 6 7 14 18 22               7
              23           3 4 5 6 7 14 18 23               7

Second Shotest Path Routing for Node 4:
Destination Node                         Path       Path Cost
               0                  4 5 6 7 8 0               5
               1                4 5 6 7 8 0 1               6
               2                  4 5 6 7 8 2               5
               3                4 5 6 7 8 2 3               6
               5                4 3 2 8 7 6 5               6
               6                  4 3 2 8 7 6               5
               7                    4 3 2 8 7               4
               8                    4 5 6 7 8               4
               9                4 5 6 7 8 0 9               6
              10              4 5 6 7 8 11 10               6
              11              4 5 6 7 8 12 11               6
              12                4 5 6 7 13 12               5
              13                4 3 2 8 12 13               5
              14                   4 3 2 8 14               4
              15             4 5 6 7 14 17 15               6
              16          4 5 6 7 14 17 15 16               7
              17                4 5 6 7 14 17               5
              18             4 3 2 8 11 17 18               6
              19                4 3 2 8 14 19               5
              20             4 3 2 8 14 19 20               6
              21          4 3 2 8 14 19 20 21               7
              22             4 5 6 7 14 18 22               6
              23             4 5 6 7 14 18 23               6

Second Shotest Path Routing for Node 5:
Destination Node                         Path       Path Cost
               0                  5 4 3 2 1 0               5
               1                  5 6 7 8 0 1               5
               2                    5 6 7 8 2               4
               3                  5 6 7 8 2 3               5
               4                5 6 7 8 2 3 4               6
               6                5 4 3 2 8 7 6               6
               7                  5 4 3 2 8 7               5
               8                    5 4 3 2 8               4
               9                5 4 3 2 1 0 9               6
              10              5 4 3 2 8 11 10               6
              11              5 4 3 2 8 12 11               6
              12               5 4 3 2 8 9 12               6
              13              5 4 3 2 8 12 13               6
              14                 5 4 3 2 8 14               5
              15            5 4 3 2 8 9 10 15               7
              16         5 4 3 2 8 9 10 15 16               8
              17              5 4 3 2 8 11 17               6
              18           5 4 3 2 8 11 17 18               7
              19              5 4 3 2 8 14 19               6
              20           5 4 3 2 8 14 19 20               7
              21        5 4 3 2 8 14 19 20 21               8
              22           5 4 3 2 8 14 18 22               7
              23           5 4 3 2 8 14 18 23               7

Second Shotest Path Routing for Node 6:
Destination Node                         Path       Path Cost
               0                6 5 4 3 2 1 0               6
               1                  6 5 4 3 2 1               5
               2                    6 5 4 3 2               4
               3                    6 7 8 2 3               4
               4                  6 7 8 2 3 4               5
               5                6 7 8 2 3 4 5               6
               7                6 5 4 3 2 8 7               6
               8                  6 5 4 3 2 8               5
               9              6 5 4 3 2 1 0 9               7
              10            6 5 4 3 2 8 11 10               7
              11            6 5 4 3 2 8 12 11               7
              12             6 5 4 3 2 8 9 12               7
              13            6 5 4 3 2 8 12 13               7
              14               6 5 4 3 2 8 14               6
              15          6 5 4 3 2 8 9 10 15               8
              16       6 5 4 3 2 8 9 10 15 16               9
              17            6 5 4 3 2 8 11 17               7
              18         6 5 4 3 2 8 11 17 18               8
              19            6 5 4 3 2 8 14 19               7
              20         6 5 4 3 2 8 14 19 20               8
              21      6 5 4 3 2 8 14 19 20 21               9
              22         6 5 4 3 2 8 14 18 22               8
              23         6 5 4 3 2 8 14 18 23               8

Second Shotest Path Routing for Node 7:
Destination Node                         Path       Path Cost
               0                   7 14 8 9 0               4
               1                   7 14 8 2 1               4
               2                 7 14 8 0 1 2               5
               3                    7 6 5 4 3               4
               4                    7 8 2 3 4               4
               5                  7 8 2 3 4 5               5
               6                7 8 2 3 4 5 6               6
               8                       7 14 8               2
               9                    7 13 12 9               3
              10                 7 14 8 11 10               4
              11                   7 13 12 11               3
              12                      7 13 12               2
              13                      7 14 13               2
              14                       7 8 14               2
              15                  7 8 9 10 15               4
              16               7 8 9 10 15 16               5
              17                    7 8 11 17               3
              18                   7 13 19 18               3
              19                      7 14 19               2
              20                   7 13 19 20               3
              21                7 13 19 20 21               4
              22                 7 8 14 18 22               4
              23                 7 8 14 18 23               4

