Routing Table for All Nodes
Shotest Path Routing for Node 0:
Destination Node                         Path       Path Cost
               8                      2 1 0 8              12
               9                      2 1 0 9              13
              10                2 1 0 8 11 10              28
              11                   2 1 0 8 11              22
              12                   2 1 0 9 12              16
              13                2 1 0 8 14 13              20
              14                2 1 0 8 12 14              20
              15                2 1 0 9 10 15              26
              16          2 1 0 8 14 18 23 16              29
              17                2 1 0 8 14 17              24
              18                2 1 0 8 14 18              24
              19                2 1 0 8 14 19              27
              20             2 1 0 8 14 18 20              30
              21          2 1 0 8 14 18 22 21              31
              22             2 1 0 8 14 18 22              26
              23             2 1 0 8 14 18 23              25

Second Shotest Path Routing for Node 3:
Destination Node                         Path       Path Cost
               0                3 4 5 6 7 8 0              21
               1              3 4 5 6 7 8 0 1              23
               2                3 4 5 6 7 8 2              22
               4                3 2 8 7 6 5 4              26
               5                  3 2 8 7 6 5              25
               6                    3 2 8 7 6              22
               7                      3 2 8 7              18
               8                  3 4 5 6 7 8              17
               9                3 4 5 6 7 8 9              26
              10            3 4 5 6 7 8 11 10              33
              11               3 4 5 6 7 8 11              27
              12              3 4 5 6 7 13 12              22
              13                  3 2 8 12 13              18
              14                 3 4 5 6 7 14              19
              15           3 4 5 6 7 14 18 15              32
              16        3 4 5 6 7 14 18 23 16              30
              17              3 4 5 6 7 14 17              25
              18              3 4 5 6 7 14 18              25
              19                  3 2 8 14 19              27
              20            3 2 8 12 17 18 20              28
              21        3 4 5 6 7 13 19 20 21              30
              22           3 4 5 6 7 14 18 22              27
              23           3 4 5 6 7 14 18 23              26

Second Shotest Path Routing for Node 4:
Destination Node                         Path       Path Cost
               0                    4 3 2 1 0              18
               1                4 5 6 7 8 0 1              20
               2                  4 5 6 7 8 2              19
               3                4 5 6 7 8 2 3              26
               5                4 3 2 8 7 6 5              28
               6                  4 3 2 8 7 6              25
               7                    4 3 2 8 7              21
               8                      4 3 2 8              15
               9                  4 3 2 1 0 9              23
              10                4 3 2 8 11 10              31
              11                   4 3 2 8 11              25
              12               4 3 2 1 0 9 12              26
              13                4 3 2 8 12 13              21
              14                   4 3 2 8 14              21
              15             4 3 2 8 14 18 15              34
              16          4 3 2 8 14 18 23 16              32
              17                4 3 2 8 14 17              27
              18             4 3 2 8 12 17 18              25
              19                4 3 2 8 14 19              30
              20          4 3 2 8 12 17 18 20              31
              21          4 3 2 8 12 17 22 21              28
              22             4 3 2 8 14 18 22              29
              23             4 3 2 8 12 17 23              25

Second Shotest Path Routing for Node 5:
Destination Node                         Path       Path Cost
               0                  5 4 3 2 1 0              19
               1                  5 6 7 8 0 1              19
               2                    5 6 7 8 2              18
               3                  5 6 7 8 2 3              25
               4                5 6 7 8 2 3 4              28
               6                5 4 3 2 8 7 6              26
               7                  5 4 3 2 8 7              22
               8                    5 4 3 2 8              16
               9                5 4 3 2 1 0 9              24
              10              5 4 3 2 8 11 10              32
              11                 5 4 3 2 8 11              26
              12             5 4 3 2 1 0 9 12              27
              13              5 4 3 2 8 12 13              22
              14                 5 4 3 2 8 14              22
              15           5 4 3 2 8 14 18 15              35
              16        5 4 3 2 8 14 18 23 16              33
              17              5 4 3 2 8 14 17              28
              18           5 4 3 2 8 12 17 18              26
              19              5 4 3 2 8 14 19              31
              20        5 4 3 2 8 12 17 18 20              32
              21        5 4 3 2 8 12 17 22 21              29
              22           5 4 3 2 8 14 18 22              30
              23           5 4 3 2 8 12 17 23              26

Second Shotest Path Routing for Node 6:
Destination Node                         Path       Path Cost
               0                6 5 4 3 2 1 0              22
               1                  6 5 4 3 2 1              20
               2                      6 7 8 2              15
               3                    6 7 8 2 3              22
               4                  6 7 8 2 3 4              25
               5                6 7 8 2 3 4 5              26
               7                6 5 4 3 2 8 7              25
               8                  6 5 4 3 2 8              19
               9              6 5 4 3 2 1 0 9              27
              10            6 5 4 3 2 8 11 10              35
              11               6 5 4 3 2 8 11              29
              12           6 5 4 3 2 1 0 9 12              30
              13            6 5 4 3 2 8 12 13              25
              14               6 5 4 3 2 8 14              25
              15         6 5 4 3 2 8 14 18 15              38
              16      6 5 4 3 2 8 14 18 23 16              36
              17            6 5 4 3 2 8 14 17              31
              18         6 5 4 3 2 8 12 17 18              29
              19            6 5 4 3 2 8 14 19              34
              20      6 5 4 3 2 8 12 17 18 20              35
              21      6 5 4 3 2 8 12 17 22 21              32
              22         6 5 4 3 2 8 14 18 22              33
              23         6 5 4 3 2 8 12 17 23              29

Second Shotest Path Routing for Node 7:
Destination Node                         Path       Path Cost
               0                  7 13 12 9 0              19
               1                7 6 5 4 3 2 1              24
               2                  7 6 5 4 3 2              18
               3                      7 8 2 3              18
               4                    7 8 2 3 4              21
               5                  7 8 2 3 4 5              22
               6                7 8 2 3 4 5 6              25
               8                    7 13 12 8              13
               9                     7 14 8 9              23
              10                7 13 12 11 10              23
              11                   7 14 17 11              21
              12                      7 13 12              11
              13                      7 14 13              10
              14                      7 13 14               9
              15                   7 14 18 15              21
              16                7 14 18 23 16              19
              17                      7 14 17              14
              18                 7 8 12 17 18              16
              19                      7 14 19              17
              20                   7 14 18 20              20
              21                7 13 19 20 21              19
              22                   7 14 18 22              16
              23                 7 8 12 17 23              16

Second Shotest Path Routing for Node 8:
Destination Node                         Path       Path Cost
               0                     8 12 9 0              10
               1                        8 2 1              11
               2                      8 0 1 2              12
               3                  8 7 6 5 4 3              17
               4                      8 2 3 4              15
               5                    8 2 3 4 5              16
               6                  8 2 3 4 5 6              19
               7                    8 12 13 7              13
               9                          8 9               9
              10                      8 11 10              16
              11                         8 11              10
              12                      8 14 12              12
              13                      8 14 13               8
              14                      8 12 14               8
              15                   8 14 18 15              19
              16                8 14 18 23 16              17
              17                      8 14 17              12
              18                      8 14 18              12
              19                      8 14 19              15
              20                   8 14 18 20              18
              21                8 14 18 22 21              19
              22                   8 14 18 22              14
              23                   8 14 18 23              13

Second Shotest Path Routing for Node 9:
Destination Node                         Path       Path Cost
               0                     9 12 8 0               9
               1                   9 12 8 2 1              16
               2                      9 0 1 2              13
               3                9 8 7 6 5 4 3              26
               4                  9 0 1 2 3 4              23
               5                9 0 1 2 3 4 5              24
               6              9 0 1 2 3 4 5 6              27
               7                     9 8 14 7              23
               8                          9 8               9
              10                   9 12 11 10              15
              11                      9 10 11              13
              12                       9 8 12              11
              13                    9 8 14 13              17
              14                       9 8 14              15
              15                   9 12 17 15              14
              16                   9 10 15 16              22
              17                   9 10 11 17              20
              18                   9 10 15 18              20
              19                    9 8 14 19              24
              20              9 8 12 17 18 20              25
              21           9 8 12 13 19 20 21              27
              22                9 10 15 18 22              22
              23                9 10 15 18 23              21

Second Shotest Path Routing for Node 10:
Destination Node                         Path       Path Cost
               0                 10 11 12 8 0              18
               1               10 11 12 8 2 1              25
               2                10 11 8 0 1 2              28
               3            10 11 8 7 6 5 4 3              33
               4                10 11 8 2 3 4              31
               5              10 11 8 2 3 4 5              32
               6            10 11 8 2 3 4 5 6              35
               7                10 11 12 13 7              23
               8                      10 11 8              16
               9                   10 11 12 9              15
              11                   10 9 12 11              16
              12                     10 11 12              12
              13               10 11 12 14 13              20
              14               10 11 12 13 14              18
              15                  10 11 17 15              21
              16                  10 11 17 16              16
              17                   10 9 12 17              13
              18                  10 11 17 18              18
              19                10 9 12 13 19              19
              20             10 9 12 13 19 20              21
              21               10 11 17 22 21              21
              22                  10 11 17 22              16
              23                  10 11 17 23              18

Second Shotest Path Routing for Node 11:
Destination Node                         Path       Path Cost
               0                    11 10 9 0              18
               1                     11 8 2 1              21
               2                   11 8 0 1 2              22
               3               11 8 7 6 5 4 3              27
               4                   11 8 2 3 4              25
               5                 11 8 2 3 4 5              26
               6               11 8 2 3 4 5 6              29
               7                   11 17 14 7              21
               8                         11 8              10
               9                      11 10 9              13
              10                   11 12 9 10              16
              12                     11 17 12              10
              13                  11 17 14 13              15
              14                     11 17 14              13
              15                     11 17 15              15
              16               11 12 17 23 16              18
              17                     11 12 17               9
              18               11 12 17 22 18              14
              19                  11 17 18 19              17
              20                  11 17 18 20              18
              21               11 12 17 22 21              17
              22               11 12 17 18 22              16
              23               11 12 17 18 23              15

Second Shotest Path Routing for Node 12:
Destination Node                         Path       Path Cost
               0                       12 9 0               8
               1                   12 9 8 2 1              23
               2                   12 9 0 1 2              16
               3              12 13 7 6 5 4 3              22
               4               12 9 0 1 2 3 4              26
               5             12 9 0 1 2 3 4 5              27
               6           12 9 0 1 2 3 4 5 6              30
               7                      12 13 7              11
               8                       12 9 8              12
               9                       12 8 9              11
              10                     12 11 10              12
              11                     12 17 11              10
              13                     12 14 13               8
              14                     12 13 14               6
              15                   12 9 10 15              16
              16               12 14 18 23 16              17
              17                     12 14 17              12
              18                     12 14 18              12
              19                  12 17 18 19              13
              20                  12 17 18 20              14
              21               12 13 19 20 21              16
              22                  12 14 18 22              14
              23                  12 14 18 23              13

Second Shotest Path Routing for Node 13:
Destination Node                         Path       Path Cost
               0                 13 14 12 9 0              16
               1                  13 14 8 2 1              19
